DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1145/2578153.2578158,"Kurzhals, Kuno, Heimerl, Florian, Weiskopf, Daniel",Henry,,,,,No,No,No,,,ACM,,,ISeeCube: visual analysis of gaze data for video,https://doi.org/10.1145/2578153.2578158,Proceedings of the Symposium on Eye Tracking Research and Applications,,2014
10.1145/3527927.3531452,"Kannabiran, Gopinaath, Reddy, Anuradha Venugopal",Henry,,,,,No,No,No,,,ACM,,,Exploring Kolam As An Ecofeminist Computational Art Practice,https://doi.org/10.1145/3527927.3531452,Proceedings of the 14th Conference on Creativity and Cognition,,2022
10.1145/3487553.3524649,"Uehara, Kohei, Mori, Yusuke, Mukuta, Yusuke, Harada, Tatsuya",Henry,,,,,No,No,No,,,ACM,,,ViNTER: Image Narrative Generation with Emotion-Arc-Aware Transformer,https://doi.org/10.1145/3487553.3524649,Companion Proceedings of the Web Conference 2022,,2022
10.1145/3706598.3713381,"Wang, Xiyuan, Cao, Yi-Fan, Xiong, Junjie, Chen, Sizhe, Li, Wenxuan, Zhang, Junjie, Li, Quan",Henry,,,,,No,No,No,,,ACM,,,ClueCart: Supporting Game Story Interpretation and Narrative Inference from Fragmented Clues,https://doi.org/10.1145/3706598.3713381,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/3506860.3506895,"Fernandez Nieto, Gloria Milena, Kitto, Kirsty, Buckingham Shum, Simon, Martinez-Maldonado, Roberto",Henry,,,,,No,No,No,,,ACM,,,"Beyond the Learning Analytics Dashboard: Alternative Ways to Communicate Student Data Insights Combining Visualisation, Narrative and Storytelling",https://doi.org/10.1145/3506860.3506895,LAK22: 12th International Learning Analytics and Knowledge Conference,,2022
10.1145/3613904.3642410,"Wan, Qian, Feng, Xin, Bei, Yining, Gao, Zhiqi, Lu, Zhicong",Henry,,,,,No,No,No,,,ACM,,,"Metamorpheus: Interactive, Affective, and Creative Dream Narration Through Metaphorical Visual Storytelling",https://doi.org/10.1145/3613904.3642410,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,,2024
10.1145/3708319.3734179,"Kim, Eunhye, Choe, Kiroong, Yan, Guangjing, Kang, Mingyu",Henry,,,,,No,No,No,,,ACM,,,User Orientations and Stage-Specific Behaviors in E-commerce Exploratory Search: A Formative Study,https://doi.org/10.1145/3708319.3734179,"Adjunct Proceedings of the 33rd ACM Conference on User Modeling, Adaptation and Personalization",,2025
10.1145/3461778.3462108,"Rinott, Michal, Geiger, Shachar, Nenner, Neil, Topaz, Ori, Karmon, Ayelet, Blake, Kiersten",Henry,,,,,No,No,No,,,ACM,,,Designing an embodied conversational agent for a learning space,https://doi.org/10.1145/3461778.3462108,Proceedings of the 2021 ACM Designing Interactive Systems Conference,,2021
10.1145/3746059.3747752,"Kim, Junghwan, Jeon, Hyeonseok, Heo, Dongseok, Lee, Jung, Suh, Bongwon",Henry,,,,,No,No,No,,,ACM,,,LegisFlow: Enhancing Korean Legal Research with Temporal-Aware LLM Interfaces,https://doi.org/10.1145/3746059.3747752,Proceedings of the 38th Annual ACM Symposium on User Interface Software and Technology,,2025
10.1145/3729459.3748697,"Ho-Le, Minh-Quan, Ho, Duy-Khang, Ninh, Van-Tu, Nguyen, Trong-Thuan, Gurrin, Cathal, Tran, Minh-Triet",Henry,,,,,No,No,No,,,ACM,,,SnapSeek 3.0: Interactive Lifelog Search System with Enhanced Scene Understanding,https://doi.org/10.1145/3729459.3748697,Proceedings of the 8th Annual ACM Workshop on the Lifelog Search Challenge,,2025
10.1145/3419249.3420151,"Menheere, Daphne, Lallemand, Carine, van der Spek, Erik, Megens, Carl, Vande Moere, Andrew, Funk, Mathias, Vos, Steven",Henry,,,,,No,No,No,,,ACM,,,The Runner's Journey: Identifying Design Opportunities for Running Motivation Technology,https://doi.org/10.1145/3419249.3420151,"Proceedings of the 11th Nordic Conference on Human-Computer Interaction: Shaping Experiences, Shaping Society",,2020
